Index;First;Second;Third;Magnitude;Con/Incon;Target;Type of stimuli;Correct cal;Correct angle
299;8;3;0;5;0;3;2;5,5;0
300;11;4;0;7;0;4;2;7,5;0
301;10;6;9;4;0;3;4;0;135,00
302;11;4;5;7;0;1;4;0;25,71
303;11;17;0;6;1;2;1;14;0
304;8;13;0;5;1;3;1;10,5;0
305;12;17;0;5;1;2;1;14,5;0
306;11;4;8;7;0;4;4;0;102,86
307;10;17;13;7;1;3;3;0;77,14
308;8;12;0;4;1;2;1;10;0
309;11;7;9;4;0;2;4;0;90,00
310;11;6;0;5;0;4;2;8,5;0
311;9;15;14;6;1;5;3;0;150,00
312;8;15;13;7;1;5;3;0;128,57
313;12;17;16;5;1;4;3;0;144,00
314;9;13;10;4;1;1;3;0;45,00
315;12;19;0;7;1;5;1;15,5;0
316;11;4;0;7;0;2;2;7,5;0
317;12;18;16;6;1;4;3;0;120,00
318;11;18;0;7;1;2;1;14,5;0
319;9;2;0;7;0;1;2;5,5;0
320;11;6;0;5;0;4;2;8,5;0
321;10;4;9;6;0;5;4;0;150,00
322;12;6;0;6;0;4;2;9;0
323;8;2;0;6;0;2;2;5;0
324;8;14;10;6;1;2;3;0;60,00
325;10;15;0;5;1;4;1;12,5;0
326;8;3;0;5;0;3;2;5,5;0
327;10;6;9;4;0;3;4;0;135,00
328;10;15;0;5;1;4;1;12,5;0
329;9;5;6;4;0;1;4;0;45,00
330;9;5;7;4;0;2;4;0;90,00
331;11;5;0;6;0;3;2;8;0
332;8;12;0;4;1;1;1;10;0
333;11;5;7;6;0;2;4;0;60,00
334;8;15;0;7;1;3;1;11,5;0
335;12;18;0;6;1;2;1;15;0
336;12;18;16;6;1;4;3;0;120,00
337;11;4;8;7;0;4;4;0;102,86
338;11;18;0;7;1;2;1;14,5;0
339;12;8;9;4;0;1;4;0;45,00
340;9;16;15;7;1;6;3;0;154,29
341;9;16;0;7;1;6;1;12,5;0
342;10;5;0;5;0;2;2;7,5;0
343;11;5;8;6;0;3;4;0;90,00
344;8;1;6;7;0;5;4;0;128,57
345;12;7;0;5;0;2;2;9,5;0
346;8;2;4;6;0;2;4;0;60,00
347;12;18;15;6;1;3;3;0;90,00
348;10;16;15;6;1;5;3;0;150,00
349;8;13;12;5;1;4;3;0;144,00
350;12;8;0;4;0;1;2;10;0
351;12;6;0;6;0;4;2;9;0
352;12;19;16;7;1;4;3;0;102,86
353;11;15;13;4;1;2;3;0;90,00
354;12;8;0;4;0;3;2;10;0
355;12;6;0;6;0;3;2;9;0
356;10;3;0;7;0;1;2;6,5;0
357;11;17;14;6;1;3;3;0;90,00
358;8;13;0;5;1;4;1;10,5;0
359;8;13;0;5;1;1;1;10,5;0
360;10;15;12;5;1;2;3;0;72,00
361;11;6;0;5;0;4;2;8,5;0
362;11;5;0;6;0;2;2;8;0
363;10;4;0;6;0;1;2;7;0
364;12;5;0;7;0;6;2;8,5;0
365;8;15;0;7;1;5;1;11,5;0
366;10;5;9;5;0;4;4;0;144,00
367;8;1;0;7;0;4;2;4,5;0
368;8;3;6;5;0;3;4;0;108,00
369;12;17;0;5;1;4;1;14,5;0
370;12;16;0;4;1;2;1;14;0
371;11;15;12;4;1;1;3;0;45,00
372;11;15;0;4;1;1;1;13;0
373;8;14;12;6;1;4;3;0;120,00
374;8;1;0;7;0;3;2;4,5;0
375;8;15;11;7;1;3;3;0;77,14
376;10;4;0;6;0;5;2;7;0
377;12;19;0;7;1;6;1;15,5;0
378;11;16;0;5;1;1;1;13,5;0
379;12;17;16;5;1;4;3;0;144,00
380;10;5;7;5;0;2;4;0;72,00
381;11;16;15;5;1;4;3;0;144,00
382;8;4;6;4;0;2;4;0;90,00
383;8;12;10;4;1;2;3;0;90,00
384;10;3;6;7;0;3;4;0;77,14
385;10;4;0;6;0;1;2;7;0
386;9;13;0;4;1;1;1;11;0
387;8;13;11;5;1;3;3;0;108,00
388;10;3;4;7;0;1;4;0;25,71
389;10;3;0;7;0;1;2;6,5;0
390;10;14;0;4;1;3;1;12;0
391;10;17;11;7;1;1;3;0;25,71
392;11;5;0;6;0;4;2;8;0
393;10;15;14;5;1;4;3;0;144,00
394;11;18;0;7;1;1;1;14,5;0
395;12;18;14;6;1;2;3;0;60,00
396;10;14;13;4;1;3;3;0;135,00
397;9;3;8;6;0;5;4;0;150,00
398;11;7;0;4;0;1;2;9;0
399;8;4;0;4;0;2;2;6;0
400;10;16;0;6;1;3;1;13;0
